"","std","mean"
"Test-Person-1",0.401725583542953,0.814318308587499
"Test-Person-2",0.401591215802954,0.814134082372582
"Test-Person-3",0.401685424183586,0.813653186036488
"Test-Person-4",0.401334192215653,0.814181179956396
"Test-Person-5",0.401744350081093,0.814485296452737
"Test-Person-6",0.40240125710541,0.814443790625416
"Test-Person-7",0.402953281150532,0.814005163079505
"Test-Person-8",0.4029827617638,0.814592330094455
"Test-Person-9",0.404705549846773,0.816838926080319
"Test-Person-10",0.406312326820652,0.817921736304751
"Test-Person-11",0.406276480209633,0.818463192262674
"Test-Person-12",0.407352648568977,0.82010308052036
"Test-Person-13",0.410886613278106,0.822764938319952
"Test-Person-14",0.413576887845867,0.824506073883984
"Test-Person-15",0.410218792340372,0.822787537861724
"Test-Person-16",0.406113373023426,0.820657170312318
"Test-Person-17",0.405715053896679,0.820257354845029
"Test-Person-18",0.405883040964045,0.81979398209379
"Test-Person-19",0.404971682377003,0.81962173944435
"Test-Person-20",0.403759726918791,0.819749176346658
"Test-Person-21",0.404708199198941,0.81975564243831
"Test-Person-22",0.405485794029381,0.819863390156227
"Test-Person-23",0.406609965037091,0.819941430360672
"Test-Person-24",0.408394558818594,0.820112440602443
"Test-Person-25",0.408426501331316,0.819642170197082
"Test-Person-26",0.407039237140653,0.819101314878181
"Test-Person-27",0.407509293090225,0.81920540220979
"Test-Person-28",0.408816889296102,0.818444801967255
"Test-Person-29",0.408799895450091,0.817188930801357
"Test-Person-30",0.407498759937747,0.815916785364812
"Test-Person-31",0.404518853619229,0.81337936991376
"Test-Person-32",0.399951873395433,0.810027245081412
"Test-Person-33",0.399682444818275,0.807985532810655
"Test-Person-34",0.401882928689809,0.809325900723583
"Test-Person-35",0.404250226020727,0.812560386740075
"Test-Person-36",0.404564027012638,0.813698191009162
"Test-Person-37",0.403617278766236,0.812722507451832
"Test-Person-38",0.404597183294878,0.812802164731116
"Test-Person-39",0.406408100960464,0.814677000455887
"Test-Person-40",0.407232890754392,0.815749905621106
"Test-Person-41",0.406913611806568,0.814608495733288
"Test-Person-42",0.407588635329957,0.813104132895657
"Test-Person-43",0.406320229686297,0.813012223826094
"Test-Person-44",0.404321597768692,0.81365104454418
"Test-Person-45",0.401500711493698,0.813751870949237
"Test-Person-46",0.401962364984987,0.814627486772447
"Test-Person-47",0.406014609259846,0.816890636428164
"Test-Person-48",0.406672368200797,0.817611897242552
"Test-Person-49",0.404818325189037,0.817020156746454
"Test-Person-50",0.406192566251162,0.818484188388782
"Test-Person-51",0.408637162137802,0.821536429869902
"Test-Person-52",0.410695159306997,0.823884972050797
"Test-Person-53",0.410382289897122,0.82458288110397
"Test-Person-54",0.409226527621679,0.824300640862911
"Test-Person-55",0.409910449857749,0.824228761901622
"Test-Person-56",0.410926614009263,0.824629289914693
"Test-Person-57",0.414333031203066,0.82627809683339
"Test-Person-58",0.415792846358545,0.827078554092087
"Test-Person-59",0.412641327270376,0.824655345922973
"Test-Person-60",0.408245300362723,0.821128417804751
"Test-Person-61",0.406443033011841,0.818321702566474
"Test-Person-62",0.408202151476941,0.817844594323719
"Test-Person-63",0.408618026985663,0.818071702917272
"Test-Person-64",0.406866268889371,0.816915344240109
"Test-Person-65",0.405797171960875,0.816543092808402
"Test-Person-66",0.405248822625293,0.815267262239566
"Test-Person-67",0.404917015044396,0.813245466030041
"Test-Person-68",0.404233493592458,0.813014163821853
"Test-Person-69",0.404055074567017,0.812996979126337
"Test-Person-70",0.403437325422719,0.812349962593112
"Test-Person-71",0.402446894955621,0.810362738130404
"Test-Person-72",0.401680456114423,0.80925385370587
"Test-Person-73",0.403527507604318,0.810561816786461
"Test-Person-74",0.405193923527877,0.811447010059722
"Test-Person-75",0.404418756417438,0.8119139778755
"Test-Person-76",0.403747169502949,0.812204614240414
"Test-Person-77",0.405506226371446,0.813524440077333
"Test-Person-78",0.408001668040514,0.81567356766963
"Test-Person-79",0.405835077045485,0.814977357428402
"Test-Person-80",0.403108466052075,0.814023192292263
"Test-Person-81",0.404615886039652,0.815902493201832
"Test-Person-82",0.407203437412005,0.818733747669291
"Test-Person-83",0.407268548368843,0.821004868052766
"Test-Person-84",0.405486200092917,0.821953113136953
"Test-Person-85",0.407159743064082,0.82296714309491
"Test-Person-86",0.41005804048001,0.825053050279064
"Test-Person-87",0.411993615094129,0.825709193872718
"Test-Person-88",0.412715841419877,0.824125235371021
"Test-Person-89",0.412220746586242,0.82274597763719
"Test-Person-90",0.410901335584305,0.822595736891415
"Test-Person-91",0.410875331013844,0.82269077796717
"Test-Person-92",0.411450256419067,0.822167549399898
"Test-Person-93",0.410896865573867,0.820849238138989
"Test-Person-94",0.409346552908195,0.819421303016661
"Test-Person-95",0.407091441695214,0.817007352197099
"Test-Person-96",0.402979624468844,0.812403547740329
"Test-Person-97",0.401647422007814,0.808698873747574
"Test-Person-98",0.402747552984333,0.808821975756159
"Test-Person-99",0.404191344849421,0.810588839166271
"Test-Person-100",0.40390872428498,0.810716481117408
"Test-Person-101",0.403367855000771,0.809404069873957
"Test-Person-102",0.405043884225606,0.809363264863794
"Test-Person-103",0.406205989289536,0.810980309283407
"Test-Person-104",0.405627529694665,0.811861367062911
"Test-Person-105",0.405405074449079,0.810929986389413
